'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
2608,0.497,0.568,0.071,-0.533,0.213,0.320,0.296,0.090,0.742,0.464,-0.021,-0.008,-0.011,0.284,-0.234
2609,0.493,0.565,0.072,-0.529,0.210,0.319,0.295,0.089,0.742,0.461,-0.023,-0.009,-0.017,0.271,-0.238
2610,0.481,0.557,0.076,-0.519,0.203,0.317,0.292,0.088,0.738,0.458,-0.024,-0.011,-0.017,0.261,-0.234
2611,0.497,0.566,0.070,-0.532,0.214,0.318,0.281,0.086,0.740,0.461,-0.021,-0.011,-0.016,0.249,-0.234
2612,0.493,0.566,0.072,-0.529,0.210,0.319,0.287,0.081,0.738,0.458,-0.026,-0.013,-0.022,0.251,-0.235
2613,0.493,0.560,0.069,-0.527,0.212,0.315,0.295,0.087,0.733,0.455,-0.030,-0.022,-0.022,0.245,-0.232
2614,0.493,0.562,0.070,-0.528,0.211,0.317,0.283,0.082,0.728,0.452,-0.035,-0.021,-0.021,0.233,-0.232
2615,0.493,0.561,0.069,-0.527,0.212,0.315,0.281,0.076,0.728,0.452,-0.035,-0.018,-0.019,0.228,-0.232
2616,0.494,0.560,0.068,-0.527,0.213,0.314,0.282,0.079,0.730,0.455,-0.032,-0.015,-0.017,0.235,-0.231
2617,0.499,0.568,0.070,-0.533,0.214,0.319,0.281,0.079,0.731,0.456,-0.029,-0.009,-0.009,0.257,-0.232
2618,0.504,0.569,0.066,-0.536,0.220,0.317,0.285,0.085,0.730,0.456,-0.030,-0.009,-0.009,0.273,-0.232
2619,0.494,0.563,0.069,-0.529,0.213,0.316,0.287,0.085,0.731,0.455,-0.030,-0.013,-0.018,0.274,-0.236
2620,0.490,0.562,0.072,-0.526,0.209,0.318,0.287,0.087,0.735,0.460,-0.027,-0.011,-0.015,0.279,-0.239
2621,0.509,0.571,0.062,-0.540,0.223,0.317,0.287,0.087,0.731,0.458,-0.028,-0.005,-0.003,0.268,-0.235
2622,0.517,0.575,0.058,-0.546,0.230,0.317,0.288,0.086,0.731,0.458,-0.028,-0.006,-0.009,0.261,-0.234
2623,0.486,0.566,0.080,-0.526,0.203,0.323,0.291,0.090,0.733,0.461,-0.025,-0.009,-0.015,0.272,-0.231
2624,0.478,0.559,0.082,-0.518,0.199,0.321,0.286,0.083,0.729,0.456,-0.028,-0.011,-0.016,0.257,-0.230
2625,0.497,0.564,0.067,-0.530,0.215,0.315,0.279,0.077,0.725,0.451,-0.035,-0.015,-0.017,0.252,-0.229
2626,0.493,0.558,0.065,-0.526,0.214,0.311,0.284,0.077,0.726,0.452,-0.035,-0.011,-0.013,0.251,-0.229
2627,0.490,0.556,0.067,-0.523,0.211,0.311,0.288,0.083,0.729,0.456,-0.029,-0.002,-0.016,0.253,-0.231
2628,0.493,0.565,0.072,-0.529,0.210,0.319,0.292,0.088,0.733,0.459,-0.027,-0.005,-0.018,0.278,-0.230
2629,0.494,0.569,0.075,-0.531,0.209,0.322,0.296,0.090,0.736,0.460,-0.026,-0.011,-0.018,0.284,-0.230
2630,0.498,0.574,0.077,-0.536,0.210,0.326,0.293,0.088,0.732,0.461,-0.025,-0.006,-0.015,0.254,-0.229
2631,0.499,0.574,0.074,-0.536,0.212,0.324,0.286,0.081,0.730,0.458,-0.027,-0.010,-0.019,0.226,-0.224
2632,0.503,0.576,0.073,-0.539,0.215,0.325,0.289,0.086,0.731,0.459,-0.028,-0.009,-0.021,0.230,-0.230
2633,0.504,0.574,0.070,-0.539,0.216,0.323,0.287,0.083,0.729,0.456,-0.030,-0.011,-0.017,0.223,-0.231
2634,0.509,0.573,0.064,-0.541,0.223,0.318,0.279,0.074,0.723,0.450,-0.036,-0.018,-0.018,0.233,-0.227
2635,0.505,0.571,0.066,-0.538,0.220,0.319,0.290,0.089,0.730,0.460,-0.026,-0.009,-0.015,0.260,-0.233
2636,0.502,0.571,0.070,-0.537,0.216,0.321,0.292,0.093,0.734,0.460,-0.026,-0.009,-0.013,0.264,-0.234
2637,0.500,0.573,0.073,-0.536,0.213,0.323,0.285,0.083,0.727,0.453,-0.033,-0.006,-0.011,0.274,-0.232
2638,0.503,0.573,0.070,-0.538,0.217,0.322,0.290,0.084,0.728,0.454,-0.034,-0.017,-0.021,0.279,-0.232
2639,0.506,0.577,0.070,-0.542,0.218,0.324,0.287,0.087,0.733,0.456,-0.032,-0.017,-0.024,0.275,-0.232
2640,0.498,0.569,0.070,-0.533,0.214,0.320,0.283,0.083,0.730,0.457,-0.030,-0.009,-0.029,0.265,-0.237
2641,0.493,0.555,0.062,-0.524,0.215,0.309,0.281,0.080,0.727,0.450,-0.037,-0.021,-0.026,0.269,-0.231
2642,0.489,0.553,0.065,-0.521,0.213,0.309,0.283,0.080,0.728,0.452,-0.033,-0.015,-0.011,0.270,-0.224
2643,0.491,0.560,0.070,-0.526,0.211,0.315,0.293,0.087,0.734,0.461,-0.027,-0.011,-0.018,0.284,-0.230
2644,0.494,0.561,0.068,-0.528,0.213,0.315,0.293,0.087,0.733,0.459,-0.026,-0.011,-0.018,0.296,-0.233
2645,0.496,0.562,0.067,-0.529,0.214,0.315,0.288,0.085,0.729,0.454,-0.030,-0.013,-0.018,0.269,-0.234
2646,0.496,0.558,0.062,-0.527,0.217,0.309,0.284,0.082,0.727,0.451,-0.035,-0.017,-0.017,0.248,-0.230
2647,0.497,0.556,0.059,-0.527,0.219,0.308,0.281,0.077,0.728,0.455,-0.029,-0.009,-0.013,0.232,-0.228
2648,0.498,0.561,0.064,-0.530,0.217,0.312,0.284,0.081,0.728,0.454,-0.033,-0.015,-0.021,0.227,-0.233
2649,0.495,0.556,0.062,-0.525,0.216,0.309,0.285,0.082,0.728,0.452,-0.036,-0.020,-0.024,0.232,-0.229
2650,0.486,0.557,0.071,-0.521,0.207,0.314,0.284,0.078,0.729,0.454,-0.031,-0.015,-0.025,0.233,-0.233
2651,0.487,0.562,0.074,-0.524,0.206,0.318,0.281,0.075,0.725,0.451,-0.033,-0.017,-0.028,0.224,-0.233
2652,0.494,0.562,0.068,-0.528,0.213,0.315,0.286,0.080,0.725,0.450,-0.035,-0.020,-0.020,0.244,-0.229
2653,0.497,0.563,0.067,-0.530,0.215,0.315,0.285,0.080,0.723,0.449,-0.036,-0.015,-0.013,0.265,-0.229
2654,0.495,0.566,0.071,-0.530,0.212,0.319,0.280,0.074,0.722,0.449,-0.036,-0.017,-0.019,0.245,-0.227
2655,0.492,0.557,0.067,-0.524,0.212,0.312,0.281,0.072,0.723,0.449,-0.033,-0.015,-0.015,0.247,-0.226
2656,0.504,0.566,0.062,-0.535,0.221,0.314,0.290,0.083,0.729,0.453,-0.029,-0.015,-0.017,0.264,-0.232
2657,0.519,0.587,0.068,-0.553,0.226,0.327,0.297,0.090,0.735,0.457,-0.023,-0.003,-0.013,0.259,-0.239
2658,0.517,0.586,0.069,-0.551,0.224,0.328,0.291,0.086,0.729,0.454,-0.025,0.002,-0.009,0.252,-0.234
2659,0.517,0.585,0.069,-0.551,0.224,0.327,0.290,0.086,0.728,0.451,-0.032,-0.019,-0.022,0.258,-0.230
2660,0.517,0.584,0.067,-0.550,0.226,0.325,0.288,0.086,0.729,0.449,-0.029,-0.013,-0.017,0.250,-0.227
2661,0.511,0.574,0.064,-0.542,0.224,0.319,0.280,0.081,0.725,0.447,-0.031,-0.013,-0.017,0.254,-0.228
2662,0.499,0.561,0.062,-0.530,0.218,0.312,0.281,0.079,0.723,0.443,-0.036,-0.020,-0.025,0.258,-0.230
2663,0.502,0.557,0.056,-0.530,0.224,0.306,0.286,0.079,0.722,0.444,-0.037,-0.015,-0.021,0.268,-0.228
2664,0.503,0.558,0.056,-0.530,0.224,0.307,0.285,0.081,0.724,0.447,-0.034,-0.013,-0.019,0.268,-0.225
2665,0.483,0.552,0.069,-0.518,0.207,0.310,0.281,0.077,0.722,0.442,-0.037,-0.018,-0.021,0.263,-0.228
2666,0.479,0.545,0.066,-0.512,0.206,0.305,0.281,0.074,0.722,0.441,-0.040,-0.018,-0.019,0.243,-0.229
2667,0.490,0.547,0.058,-0.518,0.216,0.302,0.286,0.082,0.726,0.446,-0.036,-0.017,-0.021,0.227,-0.225
2668,0.504,0.560,0.056,-0.532,0.224,0.308,0.289,0.085,0.727,0.447,-0.035,-0.015,-0.021,0.240,-0.226
2669,0.499,0.559,0.060,-0.529,0.220,0.310,0.289,0.085,0.728,0.448,-0.034,-0.013,-0.020,0.228,-0.228
2670,0.493,0.559,0.067,-0.526,0.213,0.313,0.282,0.080,0.724,0.445,-0.036,-0.015,-0.024,0.238,-0.230
2671,0.500,0.559,0.059,-0.530,0.221,0.309,0.280,0.075,0.722,0.442,-0.040,-0.018,-0.021,0.243,-0.225
2672,0.492,0.549,0.058,-0.520,0.217,0.303,0.278,0.072,0.720,0.439,-0.044,-0.024,-0.025,0.238,-0.227
2673,0.504,0.564,0.060,-0.534,0.223,0.312,0.282,0.079,0.722,0.445,-0.040,-0.018,-0.021,0.263,-0.234
2674,0.519,0.583,0.065,-0.551,0.227,0.324,0.291,0.086,0.729,0.454,-0.029,-0.010,-0.015,0.265,-0.230
2675,0.503,0.571,0.068,-0.537,0.217,0.320,0.289,0.083,0.726,0.447,-0.035,-0.015,-0.023,0.242,-0.231
2676,0.500,0.568,0.069,-0.534,0.216,0.318,0.288,0.082,0.725,0.444,-0.038,-0.019,-0.021,0.241,-0.227
2677,0.503,0.572,0.069,-0.537,0.217,0.320,0.280,0.076,0.722,0.442,-0.041,-0.022,-0.019,0.240,-0.224
2678,0.507,0.573,0.066,-0.539,0.221,0.319,0.289,0.080,0.725,0.445,-0.038,-0.020,-0.024,0.237,-0.232
2679,0.509,0.575,0.067,-0.542,0.222,0.321,0.297,0.088,0.730,0.450,-0.031,-0.015,-0.022,0.245,-0.230
2680,0.506,0.571,0.065,-0.538,0.221,0.318,0.289,0.086,0.730,0.449,-0.030,-0.011,-0.021,0.245,-0.227
2681,0.514,0.572,0.058,-0.543,0.229,0.315,0.290,0.085,0.730,0.450,-0.029,-0.011,-0.017,0.252,-0.227
2682,0.508,0.575,0.067,-0.541,0.221,0.321,0.293,0.086,0.735,0.456,-0.022,0.000,-0.015,0.264,-0.233
2683,0.493,0.559,0.067,-0.526,0.213,0.313,0.292,0.085,0.731,0.452,-0.029,-0.007,-0.019,0.254,-0.229
2684,0.489,0.548,0.060,-0.518,0.214,0.304,0.293,0.083,0.723,0.444,-0.038,-0.022,-0.028,0.237,-0.224
2685,0.493,0.565,0.072,-0.528,0.210,0.318,0.293,0.085,0.726,0.448,-0.033,-0.017,-0.026,0.234,-0.232
2686,0.511,0.569,0.059,-0.540,0.227,0.314,0.289,0.086,0.726,0.447,-0.033,-0.017,-0.017,0.218,-0.225
2687,0.521,0.571,0.051,-0.545,0.235,0.310,0.288,0.086,0.729,0.450,-0.029,-0.005,-0.009,0.206,-0.222
2688,0.520,0.580,0.060,-0.550,0.230,0.320,0.288,0.086,0.731,0.452,-0.025,-0.005,-0.017,0.229,-0.229
2689,0.516,0.586,0.070,-0.551,0.223,0.328,0.290,0.084,0.734,0.456,-0.024,-0.007,-0.022,0.257,-0.233
2690,0.504,0.591,0.086,-0.547,0.209,0.339,0.289,0.083,0.738,0.459,-0.021,-0.001,-0.020,0.265,-0.234
2691,0.503,0.596,0.092,-0.549,0.205,0.344,0.286,0.081,0.740,0.460,-0.019,-0.004,-0.021,0.279,-0.236
2692,0.505,0.599,0.093,-0.552,0.206,0.345,0.282,0.074,0.741,0.464,-0.017,-0.001,-0.019,0.284,-0.240
2693,0.498,0.600,0.102,-0.549,0.198,0.351,0.287,0.083,0.745,0.467,-0.013,-0.002,-0.022,0.291,-0.249
2694,0.509,0.620,0.111,-0.565,0.200,0.365,0.286,0.081,0.750,0.474,-0.004,0.005,-0.018,0.286,-0.252
2695,0.504,0.613,0.110,-0.558,0.197,0.361,0.285,0.074,0.747,0.471,-0.009,0.013,-0.015,0.280,-0.251
2696,0.501,0.616,0.115,-0.558,0.193,0.365,0.288,0.082,0.750,0.471,-0.009,0.009,-0.025,0.304,-0.258
2697,0.520,0.636,0.117,-0.579,0.202,0.377,0.281,0.079,0.753,0.476,-0.003,0.010,-0.019,0.299,-0.254
2698,0.509,0.625,0.117,-0.568,0.197,0.371,0.279,0.075,0.751,0.475,-0.003,0.011,-0.013,0.285,-0.249
2699,0.513,0.627,0.115,-0.571,0.199,0.371,0.280,0.072,0.751,0.477,-0.002,0.011,-0.018,0.296,-0.255
2700,0.511,0.628,0.118,-0.570,0.197,0.373,0.281,0.071,0.752,0.478,-0.003,0.008,-0.021,0.301,-0.259
2701,0.517,0.631,0.115,-0.574,0.201,0.373,0.279,0.070,0.756,0.481,0.002,0.013,-0.014,0.316,-0.258
2702,0.529,0.646,0.118,-0.588,0.205,0.383,0.275,0.070,0.758,0.484,0.005,0.021,-0.006,0.331,-0.257
2703,0.514,0.646,0.133,-0.581,0.191,0.390,0.272,0.071,0.758,0.487,0.009,0.021,-0.008,0.322,-0.255
2704,0.509,0.639,0.130,-0.574,0.190,0.385,0.281,0.080,0.766,0.493,0.015,0.028,-0.006,0.324,-0.258
2705,0.509,0.640,0.132,-0.575,0.189,0.386,0.287,0.080,0.765,0.491,0.010,0.020,-0.011,0.338,-0.266
2706,0.526,0.644,0.119,-0.586,0.203,0.382,0.280,0.078,0.763,0.490,0.011,0.017,-0.005,0.339,-0.264
2707,0.536,0.648,0.112,-0.593,0.212,0.380,0.281,0.084,0.769,0.496,0.015,0.024,-0.002,0.316,-0.263
2708,0.525,0.658,0.134,-0.592,0.196,0.396,0.283,0.084,0.773,0.502,0.021,0.037,-0.001,0.321,-0.269
2709,0.526,0.652,0.127,-0.590,0.200,0.390,0.287,0.086,0.771,0.498,0.019,0.038,0.004,0.327,-0.265
2710,0.531,0.641,0.110,-0.587,0.211,0.375,0.281,0.084,0.765,0.491,0.009,0.015,0.000,0.299,-0.257
2711,0.523,0.642,0.119,-0.583,0.202,0.381,0.267,0.080,0.765,0.492,0.011,0.010,-0.006,0.297,-0.261
2712,0.519,0.645,0.127,-0.582,0.196,0.387,0.265,0.073,0.763,0.491,0.011,0.014,-0.007,0.299,-0.262
2713,0.522,0.646,0.124,-0.584,0.199,0.386,0.262,0.070,0.762,0.492,0.011,0.018,-0.003,0.305,-0.260
2714,0.519,0.652,0.134,-0.586,0.193,0.393,0.249,0.061,0.761,0.494,0.013,0.018,-0.004,0.306,-0.266
2715,0.524,0.655,0.132,-0.590,0.196,0.394,0.246,0.057,0.762,0.495,0.017,0.019,-0.002,0.310,-0.260
2716,0.531,0.665,0.135,-0.599,0.199,0.400,0.248,0.065,0.769,0.501,0.025,0.028,0.003,0.324,-0.263
2717,0.538,0.684,0.146,-0.611,0.196,0.415,0.239,0.054,0.770,0.505,0.030,0.031,0.002,0.332,-0.272
2718,0.545,0.697,0.151,-0.621,0.197,0.424,0.238,0.056,0.773,0.510,0.035,0.036,0.007,0.369,-0.267
2719,0.538,0.697,0.160,-0.618,0.189,0.428,0.235,0.056,0.771,0.512,0.038,0.041,0.013,0.393,-0.260
2720,0.541,0.701,0.161,-0.622,0.191,0.431,0.220,0.041,0.768,0.514,0.041,0.045,0.013,0.387,-0.253
2721,0.555,0.707,0.152,-0.631,0.202,0.429,0.208,0.032,0.764,0.514,0.043,0.051,0.018,0.361,-0.246
2722,0.564,0.709,0.145,-0.636,0.209,0.427,0.200,0.026,0.759,0.512,0.043,0.054,0.022,0.341,-0.239
2723,0.576,0.720,0.144,-0.648,0.215,0.432,0.191,0.021,0.758,0.513,0.043,0.059,0.026,0.362,-0.231
2724,0.574,0.718,0.144,-0.646,0.215,0.431,0.182,0.009,0.751,0.509,0.043,0.061,0.026,0.384,-0.222
2725,0.574,0.721,0.147,-0.647,0.213,0.434,0.175,0.000,0.741,0.501,0.038,0.061,0.027,0.388,-0.214
2726,0.574,0.722,0.149,-0.647,0.212,0.435,0.173,-0.001,0.735,0.498,0.036,0.062,0.029,0.391,-0.209
2727,0.576,0.725,0.149,-0.650,0.213,0.437,0.169,-0.004,0.736,0.500,0.042,0.066,0.030,0.389,-0.207
2728,0.591,0.739,0.149,-0.665,0.221,0.444,0.168,-0.007,0.737,0.502,0.043,0.068,0.035,0.383,-0.208
2729,0.593,0.736,0.144,-0.664,0.225,0.440,0.169,-0.006,0.732,0.497,0.038,0.065,0.035,0.360,-0.210
2730,0.587,0.721,0.134,-0.654,0.227,0.427,0.170,-0.003,0.724,0.489,0.030,0.060,0.039,0.349,-0.206
2731,0.605,0.725,0.120,-0.664,0.242,0.422,0.181,0.008,0.726,0.489,0.032,0.062,0.051,0.352,-0.201
2732,0.627,0.730,0.103,-0.678,0.263,0.416,0.183,0.013,0.725,0.485,0.029,0.061,0.059,0.341,-0.203
2733,0.618,0.714,0.096,-0.666,0.261,0.405,0.182,0.012,0.720,0.481,0.025,0.062,0.062,0.343,-0.201
2734,0.612,0.699,0.087,-0.655,0.263,0.394,0.182,0.011,0.714,0.475,0.019,0.056,0.062,0.325,-0.197
2735,0.620,0.700,0.081,-0.660,0.270,0.391,0.180,0.013,0.716,0.479,0.026,0.066,0.070,0.306,-0.200
2736,0.637,0.712,0.074,-0.674,0.281,0.393,0.187,0.023,0.725,0.488,0.034,0.072,0.075,0.319,-0.206
2737,0.638,0.708,0.070,-0.673,0.284,0.389,0.191,0.029,0.725,0.484,0.027,0.061,0.073,0.310,-0.206
2738,0.637,0.703,0.067,-0.670,0.285,0.385,0.195,0.028,0.724,0.484,0.025,0.065,0.075,0.292,-0.204
2739,0.641,0.698,0.057,-0.669,0.292,0.378,0.204,0.035,0.727,0.485,0.025,0.065,0.071,0.280,-0.209
2740,0.633,0.676,0.043,-0.655,0.295,0.359,0.210,0.043,0.728,0.482,0.020,0.059,0.072,0.280,-0.210
2741,0.637,0.661,0.025,-0.649,0.305,0.344,0.211,0.047,0.725,0.478,0.015,0.052,0.085,0.275,-0.200
2742,0.631,0.664,0.033,-0.647,0.299,0.348,0.217,0.053,0.733,0.486,0.025,0.062,0.087,0.287,-0.204
2743,0.631,0.666,0.036,-0.649,0.297,0.351,0.227,0.060,0.736,0.489,0.026,0.060,0.081,0.303,-0.212
2744,0.619,0.653,0.035,-0.636,0.292,0.344,0.228,0.060,0.733,0.487,0.025,0.059,0.077,0.282,-0.210
2745,0.612,0.656,0.044,-0.634,0.284,0.350,0.229,0.058,0.731,0.485,0.023,0.057,0.071,0.272,-0.215
2746,0.623,0.661,0.040,-0.642,0.292,0.350,0.232,0.059,0.726,0.479,0.017,0.043,0.063,0.273,-0.217
2747,0.618,0.655,0.038,-0.637,0.290,0.347,0.232,0.056,0.721,0.476,0.017,0.043,0.056,0.292,-0.215
2748,0.615,0.653,0.039,-0.634,0.288,0.346,0.226,0.046,0.711,0.467,0.009,0.043,0.054,0.296,-0.210
2749,0.606,0.649,0.044,-0.627,0.281,0.347,0.223,0.041,0.704,0.463,0.008,0.042,0.048,0.274,-0.211
2750,0.603,0.644,0.043,-0.624,0.280,0.344,0.220,0.035,0.698,0.457,0.002,0.036,0.044,0.273,-0.207
2751,0.594,0.636,0.043,-0.615,0.276,0.340,0.224,0.035,0.698,0.456,-0.002,0.035,0.039,0.277,-0.210
2752,0.577,0.635,0.059,-0.606,0.259,0.347,0.231,0.037,0.699,0.457,-0.004,0.031,0.029,0.270,-0.216
2753,0.572,0.631,0.060,-0.602,0.256,0.345,0.235,0.042,0.699,0.453,-0.008,0.027,0.033,0.275,-0.209
2754,0.575,0.627,0.053,-0.601,0.261,0.341,0.237,0.042,0.700,0.455,-0.008,0.025,0.033,0.277,-0.206
2755,0.565,0.626,0.062,-0.596,0.251,0.344,0.242,0.046,0.709,0.463,0.000,0.033,0.029,0.280,-0.216
2756,0.536,0.619,0.083,-0.578,0.228,0.350,0.256,0.054,0.719,0.469,0.004,0.034,0.016,0.298,-0.229
2757,0.537,0.619,0.082,-0.578,0.228,0.350,0.267,0.061,0.717,0.466,-0.006,0.017,0.007,0.301,-0.232
2758,0.534,0.614,0.081,-0.574,0.227,0.347,0.280,0.072,0.723,0.469,-0.005,0.016,0.004,0.302,-0.237
2759,0.515,0.600,0.085,-0.557,0.215,0.342,0.281,0.071,0.725,0.469,-0.005,0.015,-0.003,0.274,-0.237
2760,0.503,0.584,0.081,-0.544,0.211,0.333,0.280,0.070,0.720,0.463,-0.013,0.006,-0.007,0.257,-0.234
2761,0.502,0.578,0.076,-0.540,0.213,0.327,0.279,0.070,0.719,0.459,-0.017,0.003,-0.010,0.251,-0.234
2762,0.506,0.577,0.071,-0.541,0.217,0.325,0.283,0.078,0.724,0.461,-0.017,-0.004,-0.015,0.235,-0.238
2763,0.499,0.570,0.071,-0.534,0.213,0.321,0.291,0.081,0.725,0.460,-0.019,-0.004,-0.015,0.231,-0.240
2764,0.501,0.557,0.056,-0.529,0.223,0.306,0.297,0.086,0.724,0.458,-0.021,-0.004,-0.013,0.229,-0.238
2765,0.498,0.546,0.049,-0.522,0.225,0.298,0.300,0.091,0.722,0.455,-0.029,-0.013,-0.018,0.216,-0.237
2766,0.487,0.535,0.050,-0.511,0.218,0.292,0.297,0.086,0.714,0.445,-0.039,-0.025,-0.025,0.207,-0.233
2767,0.486,0.527,0.041,-0.507,0.223,0.283,0.300,0.081,0.709,0.440,-0.043,-0.025,-0.027,0.216,-0.231
2768,0.486,0.532,0.046,-0.509,0.220,0.289,0.306,0.089,0.709,0.440,-0.044,-0.019,-0.025,0.221,-0.233
2769,0.485,0.526,0.041,-0.506,0.223,0.283,0.311,0.100,0.712,0.442,-0.044,-0.035,-0.039,0.208,-0.232
2770,0.488,0.518,0.030,-0.503,0.229,0.275,0.305,0.090,0.703,0.432,-0.052,-0.032,-0.035,0.185,-0.224
2771,0.497,0.527,0.032,-0.512,0.233,0.280,0.306,0.091,0.701,0.429,-0.056,-0.032,-0.037,0.193,-0.224
2772,0.490,0.526,0.036,-0.508,0.227,0.281,0.310,0.090,0.704,0.429,-0.057,-0.043,-0.049,0.203,-0.229
2773,0.479,0.528,0.049,-0.503,0.215,0.288,0.312,0.089,0.701,0.427,-0.060,-0.044,-0.057,0.207,-0.234
2774,0.491,0.537,0.046,-0.514,0.223,0.291,0.301,0.086,0.696,0.424,-0.064,-0.050,-0.058,0.196,-0.228
2775,0.486,0.522,0.036,-0.504,0.225,0.279,0.300,0.081,0.690,0.417,-0.065,-0.040,-0.040,0.190,-0.217
2776,0.475,0.511,0.037,-0.493,0.219,0.275,0.306,0.082,0.690,0.414,-0.068,-0.049,-0.046,0.202,-0.220
2777,0.473,0.514,0.042,-0.494,0.216,0.278,0.297,0.077,0.688,0.412,-0.071,-0.056,-0.051,0.201,-0.217
2778,0.476,0.516,0.041,-0.496,0.217,0.279,0.304,0.082,0.690,0.414,-0.068,-0.049,-0.049,0.221,-0.216
2779,0.464,0.508,0.044,-0.486,0.210,0.276,0.306,0.080,0.686,0.411,-0.073,-0.056,-0.056,0.221,-0.217
2780,0.456,0.503,0.048,-0.479,0.203,0.276,0.300,0.074,0.683,0.410,-0.074,-0.054,-0.059,0.204,-0.217
2781,0.487,0.518,0.032,-0.503,0.228,0.275,0.303,0.080,0.689,0.415,-0.068,-0.044,-0.048,0.202,-0.214
2782,0.487,0.516,0.030,-0.502,0.229,0.274,0.303,0.083,0.689,0.414,-0.067,-0.044,-0.047,0.193,-0.214
2783,0.477,0.511,0.034,-0.494,0.222,0.273,0.303,0.081,0.685,0.411,-0.070,-0.050,-0.054,0.188,-0.218
2784,0.484,0.506,0.023,-0.495,0.231,0.265,0.299,0.078,0.684,0.408,-0.073,-0.049,-0.049,0.180,-0.217
2785,0.482,0.503,0.021,-0.492,0.231,0.262,0.300,0.079,0.684,0.408,-0.072,-0.048,-0.048,0.173,-0.212
2786,0.479,0.510,0.032,-0.495,0.224,0.271,0.304,0.081,0.687,0.411,-0.069,-0.049,-0.052,0.171,-0.214
2787,0.474,0.509,0.035,-0.491,0.220,0.272,0.303,0.083,0.689,0.413,-0.066,-0.046,-0.056,0.178,-0.215
2788,0.472,0.505,0.034,-0.488,0.219,0.270,0.297,0.074,0.681,0.409,-0.070,-0.049,-0.051,0.188,-0.213
2789,0.481,0.518,0.037,-0.499,0.222,0.278,0.295,0.074,0.685,0.415,-0.064,-0.043,-0.049,0.195,-0.219
2790,0.483,0.520,0.038,-0.502,0.223,0.280,0.305,0.086,0.685,0.414,-0.065,-0.043,-0.050,0.197,-0.217
2791,0.483,0.514,0.032,-0.499,0.226,0.273,0.312,0.090,0.685,0.412,-0.067,-0.046,-0.050,0.195,-0.212
2792,0.480,0.519,0.040,-0.499,0.220,0.280,0.309,0.085,0.689,0.418,-0.059,-0.038,-0.051,0.193,-0.221
2793,0.471,0.513,0.043,-0.492,0.214,0.278,0.303,0.081,0.683,0.414,-0.066,-0.045,-0.050,0.173,-0.220
2794,0.478,0.510,0.033,-0.494,0.223,0.272,0.300,0.077,0.680,0.410,-0.070,-0.049,-0.049,0.175,-0.216
2795,0.469,0.504,0.036,-0.486,0.216,0.270,0.302,0.074,0.677,0.409,-0.070,-0.049,-0.052,0.177,-0.216
2796,0.463,0.509,0.046,-0.486,0.208,0.278,0.307,0.083,0.686,0.418,-0.059,-0.037,-0.044,0.179,-0.222
2797,0.460,0.512,0.052,-0.486,0.204,0.282,0.310,0.084,0.688,0.417,-0.057,-0.034,-0.040,0.205,-0.225
2798,0.461,0.500,0.040,-0.481,0.210,0.271,0.303,0.077,0.678,0.406,-0.072,-0.058,-0.062,0.202,-0.224
2799,0.471,0.508,0.038,-0.489,0.216,0.273,0.297,0.075,0.679,0.409,-0.070,-0.058,-0.065,0.192,-0.228
2800,0.465,0.505,0.041,-0.485,0.212,0.273,0.299,0.075,0.680,0.410,-0.068,-0.054,-0.049,0.191,-0.223
2801,0.469,0.505,0.037,-0.487,0.216,0.272,0.295,0.070,0.680,0.409,-0.069,-0.059,-0.053,0.191,-0.220
2802,0.464,0.508,0.045,-0.485,0.209,0.276,0.297,0.073,0.685,0.413,-0.062,-0.051,-0.053,0.198,-0.226
2803,0.460,0.510,0.051,-0.485,0.205,0.280,0.305,0.083,0.690,0.416,-0.060,-0.054,-0.070,0.196,-0.231
2804,0.467,0.510,0.044,-0.488,0.211,0.278,0.307,0.082,0.690,0.416,-0.060,-0.054,-0.073,0.200,-0.230
2805,0.474,0.509,0.035,-0.491,0.220,0.272,0.305,0.081,0.690,0.417,-0.060,-0.049,-0.050,0.199,-0.222
2806,0.480,0.517,0.037,-0.498,0.221,0.278,0.304,0.084,0.694,0.419,-0.058,-0.049,-0.051,0.201,-0.223
2807,0.471,0.513,0.043,-0.492,0.214,0.279,0.305,0.083,0.691,0.417,-0.058,-0.050,-0.059,0.201,-0.223
2808,0.484,0.529,0.045,-0.507,0.220,0.287,0.309,0.085,0.694,0.422,-0.056,-0.049,-0.056,0.195,-0.223
2809,0.481,0.529,0.049,-0.505,0.216,0.289,0.306,0.086,0.694,0.421,-0.056,-0.049,-0.052,0.200,-0.225
2810,0.451,0.498,0.049,-0.474,0.201,0.274,0.298,0.076,0.684,0.412,-0.067,-0.058,-0.052,0.197,-0.223
2811,0.446,0.500,0.055,-0.473,0.196,0.278,0.311,0.082,0.692,0.418,-0.066,-0.056,-0.057,0.203,-0.236
2812,0.452,0.503,0.052,-0.477,0.200,0.278,0.301,0.082,0.697,0.418,-0.069,-0.061,-0.064,0.191,-0.238
2813,0.451,0.499,0.049,-0.475,0.201,0.275,0.312,0.098,0.712,0.426,-0.069,-0.067,-0.069,0.178,-0.244
2814,0.447,0.496,0.051,-0.471,0.198,0.274,0.340,0.117,0.724,0.431,-0.073,-0.072,-0.073,0.183,-0.257
